algo,env,dataset,env_d4rl_name,guidance_scale,target_return,stage,n_seeds,minari_score_mean,minari_score_std,raw_return_mean,raw_return_std,d4rl_equiv_mean,d4rl_equiv_std,paper_d4rl_score,paper_source,delta_d4rl_equiv_minus_paper,notes
qgpo,humanoid,medium,humanoid-medium-v0,1.0,,critic,3,81.328,10.163,6996.553,874.285,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,medium,humanoid-medium-v0,2.0,,critic,3,76.672,9.307,6595.944,800.696,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,medium,humanoid-medium-v0,3.0,,critic,3,81.225,4.527,6987.69,389.428,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,medium,humanoid-medium-v0,5.0,,critic,3,66.727,10.506,5740.417,903.773,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,medium,humanoid-medium-v0,8.0,,critic,3,50.927,17.581,4381.167,1512.495,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,medium,humanoid-medium-v0,10.0,,critic,3,42.231,27.656,3633.034,2379.234,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,expert,humanoid-expert-v0,0.0,,critic,3,-8700.949,12444.891,-748529.572,1070615.307,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,expert,humanoid-expert-v0,1.0,,critic,3,-10439.065,14876.952,-898057.119,1279841.899,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,expert,humanoid-expert-v0,2.0,,critic,3,-13167.281,18754.09,-1132761.496,1613386.273,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,expert,humanoid-expert-v0,3.0,,critic,3,-22104.089,31357.379,-1901581.712,2697628.312,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,expert,humanoid-expert-v0,5.0,,critic,3,-46072.364,65194.573,-3963536.448,5608591.469,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,expert,humanoid-expert-v0,8.0,,critic,3,-70674.812,99970.989,-6080048.246,8600354.45,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
qgpo,humanoid,expert,humanoid-expert-v0,10.0,,critic,3,-85172.407,120465.271,-7327254.598,10363446.878,,,,"QGPO paper, Lu et al. 2023, Table 1",,humanoid not in D4RL papers
